Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
"426000,00",,,,,0,1.0,Maison,116.0,4.0,S,655.0
"324000,00",1.0,,14.0,,4,4.0,Local industriel. commercial ou assimilé,60.0,0.0,,
"324000,00",1.0,,14.0,,4,4.0,Local industriel. commercial ou assimilé,20.0,0.0,,
"7000,00",16.0,"23,30",,,1,4.0,Local industriel. commercial ou assimilé,257.0,0.0,,
"177000,00",15.0,,,,1,,,,,,
"177000,00",77.0,,,,1,,,,,,
"177000,00",75.0,,,,1,,,,,,
"33000,00",7.0,,,,1,3.0,Dépendance,0.0,0.0,,
"33000,00",68.0,"25,89",,,1,2.0,Appartement,25.0,1.0,,
"125145,00",40.0,"42,22",,,1,2.0,Appartement,60.0,3.0,,
"258500,00",,,,,0,1.0,Maison,90.0,3.0,S,833.0
"220240,00",,,,,0,3.0,Dépendance,0.0,0.0,S,465.0
"220240,00",,,,,0,3.0,Dépendance,0.0,0.0,S,465.0
"220240,00",,,,,0,1.0,Maison,100.0,5.0,S,465.0
"116000,00",17.0,"78,98",8.0,,2,3.0,Dépendance,0.0,0.0,,
"116000,00",17.0,"78,98",8.0,,2,2.0,Appartement,79.0,4.0,,
"69240,00",21.0,"35,66",27.0,,2,3.0,Dépendance,0.0,0.0,,
"69240,00",21.0,"35,66",27.0,,2,2.0,Appartement,20.0,1.0,,
"69240,00",25.0,,,,1,2.0,Appartement,3.0,0.0,,
"7000,00",19.0,,,,1,3.0,Dépendance,0.0,0.0,,
"7000,00",16.0,,,,1,4.0,Local industriel. commercial ou assimilé,257.0,0.0,,
"166400,00",36.0,,,,1,3.0,Dépendance,0.0,0.0,,
"166400,00",17.0,"66,58",,,1,2.0,Appartement,65.0,3.0,,
"166400,00",17.0,"66,58",,,1,3.0,Dépendance,0.0,0.0,,
"166400,00",17.0,"66,58",,,1,3.0,Dépendance,0.0,0.0,,
"8000,00",22.0,,,,1,3.0,Dépendance,0.0,0.0,,
"90400,00",85.0,"31,05",9.0,,2,3.0,Dépendance,0.0,0.0,,
"90400,00",85.0,"31,05",9.0,,2,2.0,Appartement,137.0,5.0,,
"90400,00",85.0,"31,05",9.0,,2,3.0,Dépendance,0.0,0.0,,
"78000,00",17.0,,70.0,,2,3.0,Dépendance,0.0,0.0,,
"78000,00",17.0,,70.0,,2,3.0,Dépendance,0.0,0.0,,
"78000,00",17.0,,70.0,,2,2.0,Appartement,40.0,2.0,,
"85000,00",7.0,"53,78",,,1,3.0,Dépendance,0.0,0.0,,
"85000,00",7.0,"53,78",,,1,2.0,Appartement,56.0,2.0,,
"85000,00",7.0,"53,78",,,1,3.0,Dépendance,0.0,0.0,,
"85000,00",24.0,"26,92",,,1,2.0,Appartement,26.0,2.0,,
"96030,00",204.0,,,,1,2.0,Appartement,25.0,2.0,,
