No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,5/1/24,Vente,"426000,00",32,,RUE,4759,SIMONE MICHEL LEVY,25000,BESANCON,25,56,,NO,123,,,,,,,,,,,,0,1,Maison,,116,4,S,,655
1,4/1/24,Vente,"324000,00",1,,RTE,2155,DE FRANOIS,25000,BESANCON,25,56,,LX,183,,1,,14,,2,,7,,,,4,4,Local industriel. commercial ou assimilé,,60,0,,,
1,4/1/24,Vente,"324000,00",1,,RTE,2155,DE FRANOIS,25000,BESANCON,25,56,,LX,183,,1,,14,,2,,7,,,,4,4,Local industriel. commercial ou assimilé,,20,0,,,
1,11/1/24,Vente,"7000,00",74,,GR,2440,GRANDE RUE,25000,BESANCON,25,56,,AB,36,,16,"23,30",,,,,,,,,1,4,Local industriel. commercial ou assimilé,,257,0,,,
1,9/1/24,Vente en l'état futur d'achèvement,"177000,00",9,,RUE,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,15,,,,,,,,,,1,,,,,,,,
1,9/1/24,Vente en l'état futur d'achèvement,"177000,00",9,,RUE,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,77,,,,,,,,,,1,,,,,,,,
1,9/1/24,Vente en l'état futur d'achèvement,"177000,00",9,,RUE,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,75,,,,,,,,,,1,,,,,,,,
1,9/1/24,Vente,"33000,00",2,,RUE,4038,PIERRE RUBENS,25000,BESANCON,25,56,,EK,84,,7,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,9/1/24,Vente,"33000,00",2,,RUE,4038,PIERRE RUBENS,25000,BESANCON,25,56,,EK,84,,68,"25,89",,,,,,,,,1,2,Appartement,,25,1,,,
1,4/1/24,Vente,"125145,00",28,,RUE,4500,RIVOTTE,25000,BESANCON,25,56,,AL,37,,40,"42,22",,,,,,,,,1,2,Appartement,,60,3,,,
1,10/1/24,Vente,"258500,00",1,,RUE,4940,TREMOLIERES,25000,BESANCON,25,56,,BS,202,,,,,,,,,,,,0,1,Maison,,90,3,S,,833
1,12/1/24,Vente,"220240,00",46,,RUE,1130,DU CHASNOT,25000,BESANCON,25,56,,BO,55,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,465
1,12/1/24,Vente,"220240,00",46,,RUE,1130,DU CHASNOT,25000,BESANCON,25,56,,BO,55,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,465
1,12/1/24,Vente,"220240,00",46,,RUE,1130,DU CHASNOT,25000,BESANCON,25,56,,BO,55,,,,,,,,,,,,0,1,Maison,,100,5,S,,465
1,12/1/24,Vente,"116000,00",3,,RUE,3205,LUCIEN FEBVRE,25000,BESANCON,25,56,,HW,189,,17,"78,98",8,,,,,,,,2,3,Dépendance,,0,0,,,
1,12/1/24,Vente,"116000,00",3,,RUE,3205,LUCIEN FEBVRE,25000,BESANCON,25,56,,HW,189,,17,"78,98",8,,,,,,,,2,2,Appartement,,79,4,,,
1,17/01/2024,Vente,"69240,00",21,,RUE,1861,ERNEST RENAN,25000,BESANCON,25,56,,AM,35,,21,"35,66",27,,,,,,,,2,3,Dépendance,,0,0,,,
1,17/01/2024,Vente,"69240,00",21,,RUE,1861,ERNEST RENAN,25000,BESANCON,25,56,,AM,35,,21,"35,66",27,,,,,,,,2,2,Appartement,,20,1,,,
1,17/01/2024,Vente,"69240,00",21,,RUE,1861,ERNEST RENAN,25000,BESANCON,25,56,,AM,35,,25,,,,,,,,,,1,2,Appartement,,3,0,,,
1,11/1/24,Echange,"7000,00",74,,GR,2440,GRANDE RUE,25000,BESANCON,25,56,,AB,36,,19,,,,,,,,,,1,3,Dépendance,,0,0,,,
2,11/1/24,Echange,"7000,00",74,,GR,2440,GRANDE RUE,25000,BESANCON,25,56,,AB,36,,16,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,,257,0,,,
1,4/1/24,Vente,"166400,00",16,,AV,2030,FONTAINE ARGENT,25000,BESANCON,25,56,,CW,176,,36,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,4/1/24,Vente,"166400,00",16,,AV,2030,FONTAINE ARGENT,25000,BESANCON,25,56,,CW,176,,17,"66,58",,,,,,,,,1,2,Appartement,,65,3,,,
1,4/1/24,Vente,"166400,00",16,,AV,2030,FONTAINE ARGENT,25000,BESANCON,25,56,,CW,176,,17,"66,58",,,,,,,,,1,3,Dépendance,,0,0,,,
1,4/1/24,Vente,"166400,00",16,,AV,2030,FONTAINE ARGENT,25000,BESANCON,25,56,,CW,176,,17,"66,58",,,,,,,,,1,3,Dépendance,,0,0,,,
1,9/1/24,Vente,"8000,00",36,,RUE,5160,DE VESOUL,25000,BESANCON,25,56,,BI,269,,22,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,8/1/24,Vente,"90400,00",16,A,AV,1534,DENFERT ROCHEREAU,25000,BESANCON,25,56,,CW,275,,85,"31,05",9,,,,,,,,2,3,Dépendance,,0,0,,,
1,8/1/24,Vente,"90400,00",16,A,AV,1534,DENFERT ROCHEREAU,25000,BESANCON,25,56,,CW,275,,85,"31,05",9,,,,,,,,2,2,Appartement,,137,5,,,
1,8/1/24,Vente,"90400,00",16,A,AV,1534,DENFERT ROCHEREAU,25000,BESANCON,25,56,,CW,275,,85,"31,05",9,,,,,,,,2,3,Dépendance,,0,0,,,
1,4/1/24,Vente,"78000,00",11,,RUE,4870,THIEBAUD,25000,BESANCON,25,56,,BK,104,,17,,70,,,,,,,,2,3,Dépendance,,0,0,,,
1,4/1/24,Vente,"78000,00",11,,RUE,4870,THIEBAUD,25000,BESANCON,25,56,,BK,104,,17,,70,,,,,,,,2,3,Dépendance,,0,0,,,
1,4/1/24,Vente,"78000,00",11,,RUE,4870,THIEBAUD,25000,BESANCON,25,56,,BK,104,,17,,70,,,,,,,,2,2,Appartement,,40,2,,,
1,2/1/24,Vente,"85000,00",4,,AV,2330,GEORGES CLEMENCEAU,25000,BESANCON,25,56,,HY,279,,7,"53,78",,,,,,,,,1,3,Dépendance,,0,0,,,
1,2/1/24,Vente,"85000,00",4,,AV,2330,GEORGES CLEMENCEAU,25000,BESANCON,25,56,,HY,279,,7,"53,78",,,,,,,,,1,2,Appartement,,56,2,,,
