No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture speciale,Surface terrain,Type de voie_AV,Type de voie_BD,Type de voie_CHE,Type de voie_CITE,Type de voie_FG,Type de voie_GR,Type de voie_PL,Type de voie_QUAI,Type de voie_RTE,Type de voie_RUE,Type de voie_SQ,Type de voie_VOIE,Type local_Dépendance,Type local_Local industriel. commercial ou assimilé,Type local_Maison,Nature culture_AG,Nature culture_BT,Nature culture_Inconnu,Nature culture_J,Nature culture_L,Nature culture_P,Nature culture_S,Nature culture_T,Nature culture_VE,Nature culture_VI
1,5/1/24,Vente,"426000,00",32.0,,4759,SIMONE MICHEL LEVY,25000,BESANCON,25,56,,NO,123,,,,,,,,,,,,0,1.0,,0.25941209586228103,1.8480074848435637,,-0.36143952660373335,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,4/1/24,Vente,"324000,00",1.0,,2155,DE FRANOIS,25000,BESANCON,25,56,,LX,183,,1.0,,14.0,,2.0,,7.0,,,,4,4.0,,0.05702486815991683,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,4/1/24,Vente,"324000,00",1.0,,2155,DE FRANOIS,25000,BESANCON,25,56,,LX,183,,1.0,,14.0,,2.0,,7.0,,,,4,4.0,,-0.08753743734177186,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,11/1/24,Vente,"7000,00",74.0,,2440,GRANDE RUE,25000,BESANCON,25,56,,AB,36,,16.0,"23,30",,,,,,,,,1,4.0,,0.7689942227557336,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,9/1/24,Vente en l'état futur d'achèvement,"177000,00",9.0,,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,15.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,9/1/24,Vente en l'état futur d'achèvement,"177000,00",9.0,,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,77.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,9/1/24,Vente en l'état futur d'achèvement,"177000,00",9.0,,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,75.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,9/1/24,Vente,"33000,00",2.0,,4038,PIERRE RUBENS,25000,BESANCON,25,56,,EK,84,,7.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,9/1/24,Vente,"33000,00",2.0,,4038,PIERRE RUBENS,25000,BESANCON,25,56,,EK,84,,68.0,"25,89",,,,,,,,,1,2.0,,-0.06946714915406077,-0.021979156575208856,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,4/1/24,Vente,"125145,00",28.0,,4500,RIVOTTE,25000,BESANCON,25,56,,AL,37,,40.0,"42,22",,,,,,,,,1,2.0,,0.05702486815991683,1.2246786043706395,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
